IdProducto	DescProducto	Conjunto	Familia
@2582961	SERV. ILUMINACION - RANGO 2	INST LAMPARAS	ILUMINACION Y VENTILADORES
@2489945	LAMPARA ESCRIT EUDOR ROSADO CL	ESCRITORIO ESCOLAR LED INTEGRADO	ILUMINACION Y VENTILADORES
@2487721	IO INDIVIDUAL LINEA 45X33CM	INDIVIDUALES TELA Y FIBRA	MENAJE
@2151138	INSECTICIDA 360ML MOSC S/OLOR	INSECTICIDAS EN AEROSOL	JARDIN
@2630869	ZOCALO KANTU SAVANA GR 46X7.5	CERAMICAS/PORCELANATOS	PISOS
@2509342	PR PORTA VELAS DECORATIVO	ACCESORIOS DECORATIVOS	DECORACION
@2575590	DECO STICKER AVENGERS 9028 MUL	AUTOADHESIVOS DE LICENCIAS	DECORACION
@1691554	PISCINA P/BANAR BEBE	PISCINAS INFLABLES INFANTILES	AIRE LIBRE
@2088436	NIPLE 1 X 3CR	FITTINGS/CONEXIONES PVC HIDRAULICO	PLOMERIA / GASFITERIA
@2586088	INST. LAVADEROS	INST ACCESORIOS DE BANO	BANOS Y COCINAS
@2518457	DIMMER PULSANTE BL	PLACAS ARMADAS COLOR	ELECTRICIDAD
@1565036	PISCINA INFL BEBE C/T HONGUITO	PISCINAS INFLABLES INFANTILES	AIRE LIBRE
@418455	TORN TURBO 8(4.0)X20 144UN.	TORNILLOS SOBERBIOS Y PERNOS UNION	FERRETERIA
@2601214	CORTINA MARRN VALENCI1.40X2.40	CORTINA DE VELO INFANTIL	DECORACION
@2065983	PE TAB RAUVIS 122X244X18MM NEG	LAMINAS	MADERA Y TABLEROS
@1667106	SET 2 SERVILLETAS  CAPRI LINEAS	SERVILLETAS TELA	MENAJE
@1757903	TAPIZON ACANALADO DIB ROJO	CUBREPISO/PUNZONADO	PISOS
@1790161	CLARO PREPAGO 3062	ACTIVACION	CASA INTELIGENTE
@1729578	PERNO HEX 5.8 M6X40 ZBR 2U	PERNOS HEXAGONALES	FERRETERIA
@2094274	COLOMURAL CASABEL 106-3 X 5M2	PAPEL BANO Y COCINA	DECORACION
@266707X	LAVATOR LLAVE BELIZE PICO ALTO	REGADERAS/CABEZALES/PLATO DE DUCHA	 BANOS Y COCINAS
@2470152	CUCHARA ACERO MANGO CILINDRIC	UTENSILIOS DE COCINA DE ACERO	MENAJE
@271972X	TOALLA PLAYA LINEA BN 80X160CM	TOALLAS DE PLAYA	DECORACION
@2668939	ALFOMBRA NYLON TIENDA NAVIDA	LIMPIAPIES / TAPETES DE ENTRADA	TEMPORADA
@217670	INTERRUPT T/RIEL 2X25A TICINO.	BIFASICOS/BIPOLAR	ELECTRICIDAD
@1910078	PE MURAL2P 70X90X353091/4CAPUERTAS	 FRENTES DE CAJON/ CAJONES	BANOS Y COCINAS
@266898X	ADORNO DE COLGAR RENO	ADORNOS COLGAR PLASTICO	TEMPORADA
@2509393	PR FIGURA BOTANICA VIDRIO28X21	CUADROS	DECORACION
@2071819	LICUADORA MONTREY 8VYHERVID NG	COMBOS DE ELECTRODOMESTICOS	LINEA BLANCA Y CLIMATIZACION
@2274523	WALLSTICKER 50X70CM PRINCES	AUTOADHESIVOS DE LICENCIAS	DECORACION
@160741	CLAVO ACERO 3.0 X 63MM 5UN.	OTROS CLAVOS	FERRETERIA
@2608065	ESCRITOR VID JARDIN82X50X73	ESCRITORIOS VIDRIO	MUEBLES
@210064	PESTILLO PORTON NEGRO 40CM.	PICAPORTES Y PESTILLOS PARA PUERTAS	FERRETERIA
@1934228	PE COS VIS BA 60X90ELY916/4CPUERTAS	 FRENTES DE CAJON/ CAJONES	BANOS Y COCINAS
@2769751	MA ESTRUCT 50X74X30CM BLPUERTAS	 FRENTES DE CAJON/ CAJONES	BANOS Y COCINAS
@314285	CANALETA 60X40MM DX.	CANALETAS / CABLECANALES	ELECTRICIDAD
@1710966	KIT PISO LAMINADO F3C	KIT HERRAMIENTAS	PISOS
@1560352	JGO COMEDOR LISBON RATAN PV 7P.	JUEGOS DE COMEDOR RATAN PE	AIRE LIBRE
@250894X	TINTA HP 664 NEGRO	IMPRESORAS	CASA INTELIGENTE
@2507293	REPUESTO MOPA ATRAPAPOLVO RUBB	REPUESTOS PARA MOPAS	ASEO
@2128675	ESPUMA LIMPIADORA/INT 3MSCOTCH	LIMPIA TAPIZ	ACCESORIOS AUTOMOVILES
@2646560	LONCH NEOP LIFE LB35-DFB	LONCHERAS SOFT	MENAJE
@2531429	LAMP GOLGANTE HUDSON 1 LUZ	COLGANTES RUSTICAS	ILUMINACION Y VENTILADORES
@1941488	PE CD/1P 60X220X58GLR244/4CAPUERTAS	 FRENTES DE CAJON/ CAJONES	BANOS Y COCINAS
@2631695	CABLE AUX 1.5 MT NYLON TEJIDO	ACCESORIOS CELULARES	CASA INTELIGENTE
@17507	PACK X2 ALMOHADAS 65X50 CM	ALM RELLENO SINTETICO	DECORACION
@2572001	SPOT LED RED GU10 5W-50W  LF	SPOTS LED INTEGRADO	ILUMINACION Y VENTILADORES
@1830147	TUBO LED T8-G13//9W 800LM	LED STANDARD (E27/E14)	ILUMINACION Y VENTILADORES
@1732722	AZ RT 25X40 LI 1.5 OLAS BLANCO CERAMICA EXTERIOR	 RUSTICO Y RUSTICO DECORADO	PISOS
@423432	TORN DRYWALL 6X1 BALDE 1000U.	TORNILLOS PARA YESO CARTON /DRYWALL	FERRETERIA
@381683	LIJADORA DE BANDA GBS75 BS-ARR	ADH LIJADORAS	ALQUILER DE HERRAMIENTAS
